id,source_dataset,label,prompt,context,response,model_input,forward_time_s,num_tokens,mean_token_prob,min_token_prob,mean_log_prob,min_log_prob,mean_entropy,max_entropy,entropy_std,token_prob_std,perplexity,mean_token_rank,max_token_rank,min_token_rank,rank_std
halueval-8465,halueval,1,Which novel was based on a man who was interviewed for Criminal Mindscape?,"Criminal Mindscape is a television documentary series on MSNBC that profiles the minds of extreme criminals. Different interviewers interview subjects such as Ron Luff and Joseph Paul Franklin.Joseph Paul Franklin (born James Clayton Vaughn, Jr.; April 13, 1950 – November 20, 2013) was an American serial killer who gained notoriety for numerous murders in the late 1970s and early 1980s. His killing spree was the subject of a fictional novel entitled ""Hunter"" by White supremacist William L. Pierce, who said of Franklin that “he saw his duty as a white man and did what a responsible son of his race must do.”","The novel based on a Criminal Mindscape interviewee is titled ""Mindscape.""","<|im_start|>system
Answer the question directly, factually, and concisely. Do not provide preamble or internal thinking.<|im_end|>
<|im_start|>user
Passage: Criminal Mindscape is a television documentary series on MSNBC that profiles the minds of extreme criminals. Different interviewers interview subjects such as Ron Luff and Joseph Paul Franklin.Joseph Paul Franklin (born James Clayton Vaughn, Jr.; April 13, 1950 – November 20, 2013) was an American serial killer who gained notoriety for numerous murders in the late 1970s and early 1980s. His killing spree was the subject of a fictional novel entitled ""Hunter"" by White supremacist William L. Pierce, who said of Franklin that “he saw his duty as a white man and did what a responsible son of his race must do.”

Question: Which novel was based on a man who was interviewed for Criminal Mindscape?<|im_end|>
<|im_start|>assistant
<think>

</think>

",0.4069209999997838,17,0.4355337651388241,1.8690610659177764e-06,-2.5522552639355554,-13.19007396697998,1.1961707745076102,5.080794334411621,1.2283122997774822,0.4086565339472002,12.836019776285696,14.764705882352942,146,1,38.30229988487099
halueval-9667,halueval,1,In what county can Maine State Route 206 be found?,"It is located entirely in Washington and runs from SR 17 to SR 105.Washington, officially the Town of Washington, is a town in Knox County, Maine.",Maine State Route 206 does not exist.,"<|im_start|>system
Answer the question directly, factually, and concisely. Do not provide preamble or internal thinking.<|im_end|>
<|im_start|>user
Passage: It is located entirely in Washington and runs from SR 17 to SR 105.Washington, officially the Town of Washington, is a town in Knox County, Maine.

Question: In what county can Maine State Route 206 be found?<|im_end|>
<|im_start|>assistant
<think>

</think>

",0.07632620000003953,12,0.7936076627423366,0.04879657179117203,-0.49285147302301385,-3.020095109939575,0.524050538680361,3.6126346588134766,1.0739727971351611,0.37132008255047944,1.636977368032332,1.3333333333333333,3,1,0.778498944161523
halueval-8673,halueval,0,"What is the name of the film director who directed a famous movie trilogy highlighting the classic film ""Viridiana"", that starred one of the actors in the Mexican comedy film ""My Three Merry Widows""?","My Three Merry Widows (in Spanish Mis tres viudas alegres) is a Mexican comedy film directed by Fernando Cortés. It was filmed in 1953 and starring Amalia Aguilar, Lilia del Valle and Silvia Pinal.Silvia Pinal Hidalgo (born 12 September 1931) is a Mexican actress, producer and politician. She is internationally known for having starred in a famous movie trilogy with the famed film director Luis Buñuel, highlighting the classic film ""Viridiana"" (1961).",Luis Buñuel,"<|im_start|>system
Answer the question directly, factually, and concisely. Do not provide preamble or internal thinking.<|im_end|>
<|im_start|>user
Passage: My Three Merry Widows (in Spanish Mis tres viudas alegres) is a Mexican comedy film directed by Fernando Cortés. It was filmed in 1953 and starring Amalia Aguilar, Lilia del Valle and Silvia Pinal.Silvia Pinal Hidalgo (born 12 September 1931) is a Mexican actress, producer and politician. She is internationally known for having starred in a famous movie trilogy with the famed film director Luis Buñuel, highlighting the classic film ""Viridiana"" (1961).

Question: What is the name of the film director who directed a famous movie trilogy highlighting the classic film ""Viridiana"", that starred one of the actors in the Mexican comedy film ""My Three Merry Widows""?<|im_end|>
<|im_start|>assistant
<think>

</think>

",0.09565889999976207,5,0.8973502516746521,0.4957585334777832,-0.142138069896464,-0.7016662955284119,0.3632975652522873,1.7212657928466797,0.7593562844457203,0.22450387743307734,1.1527357956619961,1.0,1,1,0.0
halueval-5554,halueval,0,What band was formed in the 1970s by the writer of Inconciente colectivo?,"Inconciente colectivo (Spanish: ""Collective unconscious"" ) is a well known rock song from Argentine musician Charly García, first recorded in 1982, as the end of the album ""Yendo de la cama al living"", second solo album of his career, considered by the Rolling Stone magazine as the No. 26 between best Albums of Argentine rock, though edited together as a double album with the first, ""Pubis angelical"", recorded two months earlier. Within his vast career he formed some of the bands long considered as the most popular in Argentina's rock history: Sui Generis in the 1970s and Serú Girán in the 1980s, plus cult status groups like progressive-rock act La Máquina de Hacer Pájaros.",Sui Generis,"<|im_start|>system
Answer the question directly, factually, and concisely. Do not provide preamble or internal thinking.<|im_end|>
<|im_start|>user
Passage: Inconciente colectivo (Spanish: ""Collective unconscious"" ) is a well known rock song from Argentine musician Charly García, first recorded in 1982, as the end of the album ""Yendo de la cama al living"", second solo album of his career, considered by the Rolling Stone magazine as the No. 26 between best Albums of Argentine rock, though edited together as a double album with the first, ""Pubis angelical"", recorded two months earlier. Within his vast career he formed some of the bands long considered as the most popular in Argentina's rock history: Sui Generis in the 1970s and Serú Girán in the 1980s, plus cult status groups like progressive-rock act La Máquina de Hacer Pájaros.

Question: What band was formed in the 1970s by the writer of Inconciente colectivo?<|im_end|>
<|im_start|>assistant
<think>

</think>

",0.08335450000049605,4,0.9764202237129211,0.9109490513801575,-0.02463610525956028,-0.09326833486557007,0.1616629206982907,0.5968625545501709,0.2904182294133811,0.043672813509922644,1.0249420816223405,1.0,1,1,0.0
halueval-8298,halueval,0,What American nonsectarian university awards degrees to Kepler graduates in Rwanda?,"All graduates of the program receive an accredited U.S. degree through the competency-based College for America at Southern New Hampshire University.Southern New Hampshire University, also known as SNHU, is a private, nonprofit, coeducational, and nonsectarian university situated between Manchester and Hooksett, New Hampshire, in the United States.",Southern New Hampshire University,"<|im_start|>system
Answer the question directly, factually, and concisely. Do not provide preamble or internal thinking.<|im_end|>
<|im_start|>user
Passage: All graduates of the program receive an accredited U.S. degree through the competency-based College for America at Southern New Hampshire University.Southern New Hampshire University, also known as SNHU, is a private, nonprofit, coeducational, and nonsectarian university situated between Manchester and Hooksett, New Hampshire, in the United States.

Question: What American nonsectarian university awards degrees to Kepler graduates in Rwanda?<|im_end|>
<|im_start|>assistant
<think>

</think>

",0.08057279999957245,4,0.792377345263958,0.1702372133731842,-0.442822627896021,-1.7705625295639038,0.7456097670510644,2.9732308387756348,1.4850827436654566,0.4147601360792323,1.5570961244308492,1.5,3,1,1.0
halueval-157,halueval,1,Der Mond was composed by the man who was best known for what cantata?,"Der Mond (""The Moon"") is an opera in one act by Carl Orff based on a Grimm's fairy tale) with a libretto by the composer.Carl Heinrich Maria Orff (] ; (1895--)10 1895 – (1982--)29 1982 ) was a German composer, best known for his cantata ""Carmina Burana"" (1937).",Der Mond was composed by Carl Orff.,"<|im_start|>system
Answer the question directly, factually, and concisely. Do not provide preamble or internal thinking.<|im_end|>
<|im_start|>user
Passage: Der Mond (""The Moon"") is an opera in one act by Carl Orff based on a Grimm's fairy tale) with a libretto by the composer.Carl Heinrich Maria Orff (] ; (1895--)10 1895 – (1982--)29 1982 ) was a German composer, best known for his cantata ""Carmina Burana"" (1937).

Question: Der Mond was composed by the man who was best known for what cantata?<|im_end|>
<|im_start|>assistant
<think>

</think>

",0.08130239999991318,9,0.6963910212119421,0.011447727680206299,-0.911466382039685,-4.469964027404785,0.4319010471808724,1.2386176586151123,0.4423776082797283,0.4044285804008244,2.487968171624515,1.5555555555555556,5,1,1.3333333333333333
halueval-9946,halueval,1,Which incident saw more victims perish the Hungerford massacre or the Monkseaton shootings?,"The Monkseaton shootings occurred on 30 April 1989 in Monkseaton, North Tyneside, United Kingdom, when Robert Sartin killed one man and left 14 other people injured during a 20-minute shooting spree.The Hungerford massacre was a series of random shootings in Hungerford, Berkshire, United Kingdom, on 19 August 1987, when Michael Robert Ryan, an unemployed antique dealer and handyman, fatally shot 16 people, before taking his own life.",Neither incident saw more victims perish.,"<|im_start|>system
Answer the question directly, factually, and concisely. Do not provide preamble or internal thinking.<|im_end|>
<|im_start|>user
Passage: The Monkseaton shootings occurred on 30 April 1989 in Monkseaton, North Tyneside, United Kingdom, when Robert Sartin killed one man and left 14 other people injured during a 20-minute shooting spree.The Hungerford massacre was a series of random shootings in Hungerford, Berkshire, United Kingdom, on 19 August 1987, when Michael Robert Ryan, an unemployed antique dealer and handyman, fatally shot 16 people, before taking his own life.

Question: Which incident saw more victims perish the Hungerford massacre or the Monkseaton shootings?<|im_end|>
<|im_start|>assistant
<think>

</think>

",0.07835770000019693,7,0.6384794671877378,2.7360201784176752e-05,-1.8296925822006804,-10.506421089172363,0.6428565845957824,1.3989039659500122,0.5480238273239912,0.389386866599053,6.231970545345685,4.571428571428571,25,1,9.015859043136949
halueval-7444,halueval,0,"A German professional footballer who plays as an attacking midfielder for German Bundesliga club Borussia Dortmund and the Germany national team shot a winning goal in the 2014 FIFA World Cup Final that was attributed to his years of practicing with Footbonaut, who described this football player as ""one of the best talents Germany has ever had."" In 2010?","Mario Götze's winning goal of the 2014 FIFA World Cup Final has been credited to his years of practice using Footbonaut.Mario Götze (] ; born 3 June 1992) is a German professional footballer who plays as an attacking midfielder for German Bundesliga club Borussia Dortmund and the Germany national team. In 2010, German Football Association's then technical director Matthias Sammer described Götze as ""one of the best talents Germany has ever had.""",Matthias Sammer,"<|im_start|>system
Answer the question directly, factually, and concisely. Do not provide preamble or internal thinking.<|im_end|>
<|im_start|>user
Passage: Mario Götze's winning goal of the 2014 FIFA World Cup Final has been credited to his years of practice using Footbonaut.Mario Götze (] ; born 3 June 1992) is a German professional footballer who plays as an attacking midfielder for German Bundesliga club Borussia Dortmund and the Germany national team. In 2010, German Football Association's then technical director Matthias Sammer described Götze as ""one of the best talents Germany has ever had.""

Question: A German professional footballer who plays as an attacking midfielder for German Bundesliga club Borussia Dortmund and the Germany national team shot a winning goal in the 2014 FIFA World Cup Final that was attributed to his years of practicing with Footbonaut, who described this football player as ""one of the best talents Germany has ever had."" In 2010?<|im_end|>
<|im_start|>assistant
<think>

</think>

",0.08647920000112208,5,0.813503335416317,0.07360183447599411,-0.5230357303284109,-2.6090853214263916,0.5475587083026767,2.6844639778137207,1.194605351104158,0.4136196241019494,1.6871415903933746,1.4,3,1,0.8944271909999159
halueval-1567,halueval,1,What American actor and director starred in a 2002 American drama film directed by Gus Van Sant?,"Caleb Casey McGuire Affleck-Boldt (born August 12, 1975) is an American actor and director.Gerry is a 2002 American drama film directed by Gus Van Sant and starring Matt Damon and Casey Affleck, who also co-wrote the film with Van Sant.",Matt Damon starred in the 2002 American drama film directed by Gus Van Sant.,"<|im_start|>system
Answer the question directly, factually, and concisely. Do not provide preamble or internal thinking.<|im_end|>
<|im_start|>user
Passage: Caleb Casey McGuire Affleck-Boldt (born August 12, 1975) is an American actor and director.Gerry is a 2002 American drama film directed by Gus Van Sant and starring Matt Damon and Casey Affleck, who also co-wrote the film with Van Sant.

Question: What American actor and director starred in a 2002 American drama film directed by Gus Van Sant?<|im_end|>
<|im_start|>assistant
<think>

</think>

",0.0960730999995576,19,0.8352283873276687,0.0014686111826449633,-0.49714120680075485,-6.523437976837158,0.4029637839666975,1.9140123128890991,0.5824232300002096,0.2809209635473081,1.644014648379424,1.263157894736842,6,1,1.1470786693528088
halueval-5072,halueval,0,When was the president of Sudan and head of the National Congress Party born who was ordered to arrest by Stevan Arnold Majiedt?,"Stevan Arnold Majiedt (born 18 December 1960 in Kenhardt) is a judge of the Supreme Court of Appeal of South Africa and a former acting judge on its Constitutional Court. He is best known for his judgment in ""National Commissioner of the SAPS v Southern Africa Litigation Centre"", which pioneered universal jurisdiction and was a focal precedent in the scandal over the South African government's failure, in violation of an ICC arrest warrant and domestic court order, to arrest Omar al-Bashir.Omar Hassan Ahmad al-Bashir (Arabic: عمر حسن أحمد البشير‎ ‎ ; pronunciation: ] ; born 1 January 1944) is a Sudanese politician, the seventh president of Sudan and head of the National Congress Party.",1 January 1944,"<|im_start|>system
Answer the question directly, factually, and concisely. Do not provide preamble or internal thinking.<|im_end|>
<|im_start|>user
Passage: Stevan Arnold Majiedt (born 18 December 1960 in Kenhardt) is a judge of the Supreme Court of Appeal of South Africa and a former acting judge on its Constitutional Court. He is best known for his judgment in ""National Commissioner of the SAPS v Southern Africa Litigation Centre"", which pioneered universal jurisdiction and was a focal precedent in the scandal over the South African government's failure, in violation of an ICC arrest warrant and domestic court order, to arrest Omar al-Bashir.Omar Hassan Ahmad al-Bashir (Arabic: عمر حسن أحمد البشير‎ ‎ ; pronunciation: ] ; born 1 January 1944) is a Sudanese politician, the seventh president of Sudan and head of the National Congress Party.

Question: When was the president of Sudan and head of the National Congress Party born who was ordered to arrest by Stevan Arnold Majiedt?<|im_end|>
<|im_start|>assistant
<think>

</think>

",0.10096359999988636,7,0.8974249831267765,0.3116683065891266,-0.1708306567688851,-1.165815830230713,0.4397619386852187,2.8640761375427246,1.070729484687778,0.25844094293117276,1.186289841856199,1.0,1,1,0.0
