id,source_dataset,original_label,pair_index_i,pair_index_j,response_i,response_j,prob_entail_i_to_j,prob_contra_i_to_j,prob_neutral_i_to_j,prob_entail_j_to_i,prob_contra_j_to_i,prob_neutral_j_to_i,pair_entailment,pair_contradiction,pair_neutral,predicted_class
halueval-8758,halueval,0,0,1,New England Patriots.,New England Patriots.,0.9891774246437393,0.001051450021327934,0.009771125334932912,0.9891774246437393,0.001051450021327934,0.009771125334932912,0.9891774246437393,0.001051450021327934,0.009771125334932912,entailment
halueval-8758,halueval,0,0,2,New England Patriots.,The Packers.,0.0004496591801228332,0.9983580501338744,0.0011922906860026275,0.0006746555104610974,0.9977583234717897,0.0015670210177491511,0.0005621573452919652,0.998058186802832,0.0013796558518758893,contradiction
halueval-8758,halueval,0,0,3,New England Patriots.,The Green Bay Packers.,0.00037023697637603793,0.9984047298409865,0.0012250331826372575,0.000403847273430884,0.9985113113745199,0.0010848413520492656,0.00038704212490346093,0.9984580206077531,0.0011549372673432617,contradiction
halueval-8758,halueval,0,0,4,New England Patriots.,New England Patriots.,0.9891774246437393,0.001051450021327934,0.009771125334932912,0.9891774246437393,0.001051450021327934,0.009771125334932912,0.9891774246437393,0.001051450021327934,0.009771125334932912,entailment
halueval-8758,halueval,0,1,2,New England Patriots.,The Packers.,0.0004496591801228332,0.9983580501338744,0.0011922906860026275,0.0006746555104610974,0.9977583234717897,0.0015670210177491511,0.0005621573452919652,0.998058186802832,0.0013796558518758893,contradiction
halueval-8758,halueval,0,1,3,New England Patriots.,The Green Bay Packers.,0.00037023697637603793,0.9984047298409865,0.0012250331826372575,0.000403847273430884,0.9985113113745199,0.0010848413520492656,0.00038704212490346093,0.9984580206077531,0.0011549372673432617,contradiction
halueval-8758,halueval,0,1,4,New England Patriots.,New England Patriots.,0.9891774246437393,0.001051450021327934,0.009771125334932912,0.9891774246437393,0.001051450021327934,0.009771125334932912,0.9891774246437393,0.001051450021327934,0.009771125334932912,entailment
halueval-8758,halueval,0,2,3,The Packers.,The Green Bay Packers.,0.7670960338868144,0.0011481146340164053,0.23175585147916913,0.9915733673835082,0.001010879377595194,0.0074157532388965984,0.8793347006351613,0.0010794970058057996,0.11958580235903286,entailment
halueval-8758,halueval,0,2,4,The Packers.,New England Patriots.,0.0006746555104610974,0.9977583234717897,0.0015670210177491511,0.0004496591801228332,0.9983580501338744,0.0011922906860026275,0.0005621573452919652,0.998058186802832,0.0013796558518758893,contradiction
halueval-8758,halueval,0,3,4,The Green Bay Packers.,New England Patriots.,0.000403847273430884,0.9985113113745199,0.0010848413520492656,0.00037023697637603793,0.9984047298409865,0.0012250331826372575,0.00038704212490346093,0.9984580206077531,0.0011549372673432617,contradiction
fever_192759,fever,1,0,1,"No, the claim is not supported by factual evidence. The *Colbert Report* was taped between June 15, 2009, and October 29, 2009, which spans over three weeks. Therefore, it was not taped Monday through Friday, as this would only be six days.","No, the claim is not supported by factual evidence. The Colbert Show was broadcast over the air on October 25, 1986, and began airing on October 26, 1986. The series was not taped; it was live television production.",0.0013748366081233333,0.9780078268471718,0.020617336544704837,0.0187079391736009,0.18560557825092103,0.7956864825754781,0.010041387890862117,0.5818067025490464,0.4081519095600915,contradiction
fever_192759,fever,1,0,2,"No, the claim is not supported by factual evidence. The *Colbert Report* was taped between June 15, 2009, and October 29, 2009, which spans over three weeks. Therefore, it was not taped Monday through Friday, as this would only be six days.","No, the claim is not supported by factual evidence. The Colbert Report was taped from October 21, 2010, to January 26, 2011. It was broadcast on Monday through Friday, but the recording sessions took place on Saturdays and Sundays, and the show premiered on February 3, 2011, on Thursday.",0.011721170557040327,0.6443997470039449,0.3438790824390148,0.21268363361357764,0.37705768854030136,0.41025867784612097,0.11220240208530899,0.5107287177721231,0.3770688801425679,contradiction
fever_192759,fever,1,0,3,"No, the claim is not supported by factual evidence. The *Colbert Report* was taped between June 15, 2009, and October 29, 2009, which spans over three weeks. Therefore, it was not taped Monday through Friday, as this would only be six days.","The Colbert Report was not taped Monday through Friday. It was filmed from November 16, 2005, to November 20, 2005, and aired on NBC on November 20, 2005.",0.0012750163046190398,0.8098693137039499,0.18885566999143105,0.0025225658551575178,0.36073989689387875,0.6367375372509637,0.0018987910798882787,0.5853046052989144,0.4127966036211974,contradiction
fever_192759,fever,1,0,4,"No, the claim is not supported by factual evidence. The *Colbert Report* was taped between June 15, 2009, and October 29, 2009, which spans over three weeks. Therefore, it was not taped Monday through Friday, as this would only be six days.","The Colbert Report was taped on **Sunday** through **Wednesday**, with **Thursday** being the only Saturday broadcast. It was not taped Monday through Friday.",0.49424297731353123,0.03096616597702696,0.47479085670944177,0.0025272021899340183,0.0156582796404792,0.9818145181695869,0.24838508975173262,0.02331222280875308,0.7283026874395143,neutral
fever_192759,fever,1,1,2,"No, the claim is not supported by factual evidence. The Colbert Show was broadcast over the air on October 25, 1986, and began airing on October 26, 1986. The series was not taped; it was live television production.","No, the claim is not supported by factual evidence. The Colbert Report was taped from October 21, 2010, to January 26, 2011. It was broadcast on Monday through Friday, but the recording sessions took place on Saturdays and Sundays, and the show premiered on February 3, 2011, on Thursday.",0.0010923897595500895,0.970636127149046,0.028271483091404027,0.001554273896185184,0.9906141712993514,0.00783155480446357,0.0013233318278676367,0.9806251492241986,0.018051518947933796,contradiction
fever_192759,fever,1,1,3,"No, the claim is not supported by factual evidence. The Colbert Show was broadcast over the air on October 25, 1986, and began airing on October 26, 1986. The series was not taped; it was live television production.","The Colbert Report was not taped Monday through Friday. It was filmed from November 16, 2005, to November 20, 2005, and aired on NBC on November 20, 2005.",0.003473829570028221,0.8187797827343952,0.17774638769557655,0.0017776345678724333,0.9548959341615015,0.04332643127062606,0.002625732068950327,0.8868378584479484,0.11053640948310131,contradiction
fever_192759,fever,1,1,4,"No, the claim is not supported by factual evidence. The Colbert Show was broadcast over the air on October 25, 1986, and began airing on October 26, 1986. The series was not taped; it was live television production.","The Colbert Report was taped on **Sunday** through **Wednesday**, with **Thursday** being the only Saturday broadcast. It was not taped Monday through Friday.",0.08783473165555716,0.060354255298419715,0.851811013046023,0.00203293973943131,0.8274784449889987,0.17048861527157014,0.044933835697494234,0.4439163501437092,0.5111498141587966,neutral
fever_192759,fever,1,2,3,"No, the claim is not supported by factual evidence. The Colbert Report was taped from October 21, 2010, to January 26, 2011. It was broadcast on Monday through Friday, but the recording sessions took place on Saturdays and Sundays, and the show premiered on February 3, 2011, on Thursday.","The Colbert Report was not taped Monday through Friday. It was filmed from November 16, 2005, to November 20, 2005, and aired on NBC on November 20, 2005.",0.000723345621332521,0.9943362529779913,0.00494040140067604,0.0007492332984152407,0.9256920488926548,0.07355871780893006,0.0007362894598738809,0.960014150935323,0.03924955960480305,contradiction
fever_192759,fever,1,2,4,"No, the claim is not supported by factual evidence. The Colbert Report was taped from October 21, 2010, to January 26, 2011. It was broadcast on Monday through Friday, but the recording sessions took place on Saturdays and Sundays, and the show premiered on February 3, 2011, on Thursday.","The Colbert Report was taped on **Sunday** through **Wednesday**, with **Thursday** being the only Saturday broadcast. It was not taped Monday through Friday.",0.23704299477707458,0.7508414017555346,0.012115603467390643,0.003036554901854866,0.14009178548715823,0.8568716596109869,0.12003977483946472,0.44546659362134644,0.43449363153918874,contradiction
fever_192759,fever,1,3,4,"The Colbert Report was not taped Monday through Friday. It was filmed from November 16, 2005, to November 20, 2005, and aired on NBC on November 20, 2005.","The Colbert Report was taped on **Sunday** through **Wednesday**, with **Thursday** being the only Saturday broadcast. It was not taped Monday through Friday.",0.07647359336490486,0.18078915823621006,0.742737248398885,0.01360596842390883,0.15817197239864805,0.8282220591774432,0.04503978089440685,0.16948056531742905,0.7854796537881641,neutral
halueval-8221,halueval,1,0,1,Orden Satany was the album produced by the leader of The Flowers.,"No, the information provided in the passage is not accurate regarding the question asked. The passage describes Stas Namin as the leader of The Flowers and the author of songs like ""Summer Evening,"" but it does not mention an album named ""Orden Satany"" or its producer. ""Orden Satany"" is a song by the band The Flowers.",0.07382047220371221,0.8864277930650526,0.03975173473123502,0.23276869591743862,0.6233041946815975,0.14392710940096395,0.15329458406057542,0.7548659938733251,0.09183942206609949,contradiction
halueval-8221,halueval,1,0,2,Orden Satany was the album produced by the leader of The Flowers.,Eden Satany was the album produced by the leader of the band The Flowers.,0.9550416379454861,0.012779630822335146,0.03217873123217871,0.9758236153125445,0.016250454651105802,0.007925930036349692,0.9654326266290153,0.014515042736720475,0.0200523306342642,entailment
